FrameUs,ADC,SyncUs,MagnetUs
767196,307,,
767600,307,,
767996,307,,
768396,307,,
768796,307,,
769196,307,,
769600,306,,
769996,308,,
770396,306,,
770800,307,,
771200,308,,
771600,307,,
771996,307,,
772396,307,,
772800,307,,
773200,307,,
773596,307,,
773996,307,,
774396,307,,
774800,307,,
775192,308,,
775596,308,,
775996,308,,
776396,308,,
776800,309,,
777196,309,,
777596,308,,
778000,309,,
778400,307,,
778800,308,,
779196,309,,
779596,308,,
780000,308,,
780400,308,,
780800,307,,
781196,308,,
781596,307,,
782000,308,,
782404,308,,
782796,308,,
783196,307,,
783596,307,,
784000,307,,
784392,307,,
784800,307,,
785200,307,,
785600,307,,
785996,307,,
786400,306,,
786800,306,,
787200,307,,
787600,308,,
787996,307,,
788400,307,,
788800,307,,
789196,307,,
789596,308,,
789996,307,,
790400,307,,
790800,308,,
791196,307,,
791596,308,,
792000,307,,
792396,307,,
792796,308,,
793200,308,,
793596,308,,
794000,306,,
794396,306,,
794796,306,,
795200,306,,
795596,306,,
795996,307,,
796396,307,,
796796,307,,
797200,306,,
797596,307,,
797996,307,,
798400,306,,
798796,307,,
799200,308,,
799596,307,,
799996,307,,
800400,308,,
800796,308,,
801196,308,,
801600,308,,
802000,309,,
802396,309,,
802796,307,,
803196,308,,
803600,307,,
804000,308,,
804396,307,,
804800,307,,
805200,307,,
805600,307,,
806000,306,,
806396,307,,
806800,307,,
807200,306,,
807600,307,,
808004,306,,
808396,307,,
808800,307,,
809200,307,,
809600,308,,
809992,308,,
810400,307,,
810796,307,,
811196,307,,
811600,308,,
812000,307,,
812400,308,,
812796,309,,
813196,308,,
813600,308,,
814000,308,,
814396,309,,
814796,308,,
815196,309,,
815600,309,,
815996,310,,
816396,308,,
816796,308,,
817196,309,,
817596,309,,
818000,309,,
818400,309,,
818800,308,,
819196,309,,
819596,307,,
820000,308,,
820400,307,,
820796,307,,
821196,308,,
821596,308,,
822000,307,,
822400,307,,
822796,308,,
823200,309,,
823596,308,,
824000,308,,
824400,309,,
824796,307,,
825200,308,,
825600,308,,
826000,308,,
826392,307,,
826796,308,,
827200,308,,
827600,307,,
828000,306,,
828396,308,,
828796,307,,
829200,307,,
829600,307,,
829996,306,,
830396,307,,
830796,306,,
831200,305,,
831600,305,,
831996,306,,
832396,305,,
832796,304,,
833200,306,,
833604,305,,
833996,306,,
834400,306,,
834800,306,,
835200,305,,
835592,307,,
836000,306,,
836396,305,,
836796,307,,
837196,307,,
837600,306,,
838000,307,,
838396,307,,
838796,306,,
839196,307,,
839600,307,,
840000,308,,
840396,307,,
840796,307,,
841200,308,,
841600,307,,
842000,307,,
842396,307,,
842796,307,,
843196,308,,
843596,307,,
843996,308,,
844400,308,,
844796,308,,
845196,308,,
845600,308,,
845996,308,,
846400,307,,
846796,307,,
847196,307,,
847600,306,,
848000,307,,
848400,307,,
848796,308,,
849196,307,,
849600,308,,
850000,308,,
850400,307,,
850796,309,,
851196,308,,
851600,308,,
851992,309,,
852396,308,,
852796,308,,
853196,308,,
853600,308,,
853996,308,,
854396,309,,
854800,308,,
855196,308,,
855600,308,,
855996,309,,
856396,306,,
856800,308,,
857200,308,,
857600,307,,
857996,306,,
858396,307,,
858800,307,,
859204,308,,
859596,308,,
859996,307,,
860396,307,,
860800,306,,
861192,306,,
861600,307,,
862000,308,,
862400,307,,
862796,307,,
863200,308,,
863600,309,,
863996,308,,
864400,309,,
864796,309,,
865200,309,,
865600,309,,
865996,309,,
866396,309,,
866796,308,,
867200,309,,
867600,308,,
867996,309,,
868396,309,,
868800,309,,
869196,308,,
869596,308,,
870000,309,,
870396,308,,
870796,309,,
871196,308,,
871596,306,,
872000,308,,
872396,308,,
872796,308,,
873196,307,,
873596,307,,
874000,308,,
874396,308,,
874796,309,,
875200,308,,
875600,309,,
876000,309,,
876396,309,,
876796,308,,
877200,308,,
877596,308,,
877996,308,,
878400,308,,
878800,309,,
879196,309,,
879600,308,,
879996,308,,
880400,309,,
880800,308,,
881196,308,,
881600,307,,
882000,308,,
882400,306,,
882800,306,,
883196,306,,
883600,307,,
884000,307,,
884400,308,,
884804,307,,
885196,307,,
885600,307,,
886000,306,,
886396,306,,
886796,307,,
887200,307,,
887596,306,,
887996,307,,
888400,307,,
888800,306,,
889200,307,,
889596,310,,
889996,308,,
890400,307,,
890800,309,,
891200,308,,
891596,309,,
891996,309,,
892400,309,,
892796,308,,
893196,309,,
893596,307,,
893996,308,,
894396,307,,
894800,307,,
895200,308,,
895600,307,,
895996,308,,
896396,307,,
896800,307,,
897200,307,,
897600,308,,
897996,308,,
898396,307,,
898800,308,,
899200,306,,
899596,307,,
900000,308,,
900400,308,,
900800,308,,
901200,308,,
901596,308,,
902000,308,,
902400,308,,
902800,307,,
903192,308,,
903596,308,,
904000,307,,
904400,308,,
904800,308,,
905196,307,,
905596,307,,
906000,307,,
906400,307,,
906796,308,,
907196,307,,
907596,307,,
908000,306,,
908400,305,,
908796,307,,
909200,306,,
909596,306,,
910000,307,,
910404,305,,
910796,306,,
911200,306,,
911600,306,,
912000,307,,
912392,307,,
912800,308,,
913196,307,,
913596,307,,
913996,308,,
914400,307,,
914800,307,,
915196,308,,
915596,308,,
916000,308,,
916400,309,,
916800,309,,
917196,309,,
917596,308,,
918000,308,,
918400,308,,
918800,306,,
919196,308,,
919596,308,,
919996,308,,
920396,309,,
920796,307,,
921200,308,,
921596,307,,
921996,307,,
922400,308,,
922800,308,,
923200,307,,
923596,308,,
923996,308,,
924400,308,,
924800,307,,
925200,307,,
925596,308,,
925996,307,,
926400,308,,
926800,307,,
927196,307,,
927596,308,,
927996,308,,
928400,307,,
928792,308,,
929196,307,,
929596,306,,
929996,307,,
930400,307,,
930796,307,,
931196,307,,
931600,307,,
932000,307,,
932400,307,,
932796,307,,
933196,308,,
933600,308,,
934000,307,,
934400,307,,
934796,307,,
935196,307,,
935600,307,,
936004,307,,
936400,307,,
936796,307,,
937196,307,,
937600,308,,
937992,307,,
938400,307,,
938800,309,,
939200,307,,
939596,308,,
940000,308,,
940400,307,,
940800,308,,
941200,308,,
941596,308,,
942000,309,,
942400,308,,
942796,308,,
943196,308,,
943596,308,,
944000,308,,
944400,308,,
944796,308,,
945196,309,,
945600,307,,
945996,307,,
946396,307,,
946800,307,,
947196,307,,
947596,308,,
947996,307,,
948396,308,,
948800,308,,
949196,308,,
949596,308,,
950000,308,,
950396,308,,
950800,307,,
951196,308,,
951596,307,,
952000,307,,
952400,307,,
952800,306,,
953196,307,,
953596,307,,
954000,305,,
954396,306,,
954796,307,,
955200,306,,
955600,306,,
955996,307,,
956400,306,,
956800,307,,
957200,306,,
957600,307,,
957996,307,,
958400,307,,
958800,308,,
959200,307,,
959600,307,,
959996,306,,
960400,307,,
960800,307,,
